amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,beta,alpha_annualized,r_squared,max_drawdown,mdd_start,mdd_end,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_mdd,final_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2073407633645523,0.339900868121239,,0.5836260237633469,0.2440937207113405,0.1760221888387501,0.5897244464766217,0.0007391478807365,-0.4082315201190836,2026-06-04,2024-11-01,1.46,0.975,0.9,0.95,0.45,0.15,79.0
119094,Axis Midcap Fund - Regular - Growth,0.2866227271647206,0.3418306822532195,,0.5601759550160919,0.3028151753567626,0.0160328417545989,0.5351845355067028,5.6053510127327634e-06,-0.3818156905609376,2025-10-12,2024-12-02,1.38,1.0,0.85,0.85,0.6,0.175,78.99999999999999
120843,Kotak Flexicap Fund - Regular - Growth,0.3685951193788443,0.2860460987291031,,0.6000551745259571,0.3270322257915097,-0.2362454669369212,0.6018333697055032,0.001146109604162,-0.3658860249561609,2026-10-04,2024-05-02,1.45,0.85,0.95,0.975,0.475,0.25,78.375
120505,ICICI Pru Midcap Fund - Regular - Growth,0.3076549515773741,0.3053086778494427,,0.5874541829103527,0.3154131993903581,-0.1694847043772389,0.4983837299123957,0.0005960785254053,-0.3777916702293329,2026-08-05,2022-04-01,1.36,0.9,0.925,0.775,0.65,0.2,77.375
149324,DSP Small Cap Fund - Regular - Growth,0.7840296595513174,0.2938530322715953,,0.7015139189350603,0.4253615085225909,-0.1985293345594297,1.0492887853508577,0.0006199954844998,-0.5235259853217533,2026-04-05,2025-03-01,1.52,0.875,1.0,1.0,0.3625,0.025,76.93749999999999
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.5071742639667802,0.3335080830412482,,0.5199906854197038,0.2800024679510064,-0.1470055187647671,0.3665035322126598,0.0007648099868917,-0.3345400487384031,2026-10-04,2024-11-01,1.38,0.95,0.825,0.7,0.6,0.35,75.625
119598,SBI Small Cap Fund - Regular Plan - Growth,0.9180235316585256,0.2854543858818392,,0.6109739905401652,0.4300523955924289,-0.0849893701858194,0.5568140645991769,0.0001216289730217,-0.4339078287773613,2026-12-05,2023-10-01,1.43,0.825,0.975,0.875,0.5,0.1,75.125
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.111411385489591,0.2698160867810637,,0.440361263645707,0.2386243490262605,-0.1790829285235232,0.3628176523007504,0.0011435013081023,-0.2686916445510288,2026-04-03,2023-05-06,0.8,0.775,0.675,0.675,0.725,0.625,70.75
119551,SBI Bluechip Fund - Regular Plan - Growth,0.4896424511934911,0.2799588004965725,,0.4985461473416376,0.239684114098151,-0.2311852820873,0.5793384263248054,0.0019387685452203,-0.3720709094613869,2026-12-05,2025-10-01,1.54,0.8,0.775,0.925,0.2625,0.225,68.0625
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.2952695517048638,0.1849877627731677,,0.4023216711438159,0.2238486561013077,-0.1876893375080673,0.3832963559700492,0.0014916881866457,-0.260962571130078,2026-07-04,2025-02-01,0.92,0.675,0.6,0.725,0.675,0.675,66.62500000000001
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.323038017339998,0.1949777552441731,,0.5134606908455872,0.3076052324141088,-0.1032579306455793,0.5589913493903518,0.0003066403924453,-0.2834702101052355,2026-08-05,2022-11-03,1.6,0.7,0.8,0.9,0.1125,0.575,66.4375
101206,ABSL Frontline Equity Fund - Regular - Growth,0.4460666814394827,0.3211035344870097,,0.4226505998469533,0.2460290354038757,-0.0663138252556594,0.3249119987948833,0.0002411458803823,-0.2988231402834415,2026-01-05,2026-02-01,1.6,0.925,0.65,0.55,0.1125,0.475,61.4375
102887,UTI Flexi Cap Fund - Regular - Growth,0.0932209918867263,0.2538904112455273,,0.4202135679339545,0.2233146649786642,0.0210987828556521,0.5109042264969741,1.575276577143935e-05,-0.3263931045668342,2025-08-09,2025-03-01,1.64,0.75,0.625,0.825,0.0375,0.375,58.9375
149323,DSP Midcap Fund - Regular - Growth,0.2341583240452924,0.2452163648606415,,0.5621425067433999,0.3226777779745049,-0.1978232722900579,0.3597812601786568,0.0009123090764671,-0.4286999927255848,2026-11-05,2023-10-02,1.61,0.725,0.875,0.625,0.075,0.125,58.5
119093,Axis Bluechip Fund - Direct - Growth,0.1413039912072047,0.1783257672067182,,0.2365576719978763,0.1527437109501564,-0.0990728250891057,0.2882586386265319,0.0005502065700881,-0.2550992167363012,2025-02-12,2025-10-01,0.75,0.65,0.275,0.525,0.825,0.725,56.49999999999999
119552,SBI Bluechip Fund - Direct Plan - Growth,0.0451052946789127,0.1405607547706879,,0.373115413553758,0.2014964062500832,-0.2032321544909004,0.2672461083815332,0.0019601320040349,-0.2943609522405812,2026-11-03,2023-02-01,0.66,0.45,0.525,0.425,0.925,0.525,54.25
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.0693878012011743,0.1153732692628686,,0.4458368516713963,0.242962863339348,-0.1374582711917532,0.5079633480565878,0.0006015697957035,-0.3246613078529696,2026-01-05,2022-07-03,1.52,0.375,0.7,0.8,0.3625,0.4,54.1875
118632,Nippon India Large Cap Fund - Regular - Growth,0.2049836262038016,0.175634030007965,,0.4473959940899119,0.2298794170338089,-0.2432621735611582,0.2669922351265695,0.0021967973502101,-0.3346174219301454,2026-10-04,2023-09-01,1.51,0.6,0.725,0.4,0.4125,0.325,53.56249999999999
118635,Nippon India ETF Nifty 50 BeES,0.2060262389266376,0.1532648661815894,,0.3449419561444637,0.1642670687882587,-0.2251877015951046,0.2818133941499481,0.0030772534483114,-0.2685556972608245,2026-05-05,2023-05-01,0.89,0.5,0.45,0.5,0.7,0.65,53.25
118634,Nippon India Small Cap Fund - Regular - Growth,0.2311575002907653,0.079087964453764,,0.4620005388067967,0.3555169666757269,0.2488969062595809,0.4266896583709043,0.001723307175805,-0.3398835573573164,2026-08-05,2022-04-02,1.53,0.325,0.75,0.75,0.3125,0.3,51.18750000000001
